STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"01","033","020200","1","010330202001",Block Group 1,G5030,S,"994584","105643","+34.7664259","-087.6960323"
"01","019","956000","1","010199560001",Block Group 1,G5030,S,"8601894","0","+34.1513552","-085.6520464"
"01","073","004701","2","010730047012",Block Group 2,G5030,S,"362202","0","+33.5087893","-086.7801179"
"01","073","004702","1","010730047021",Block Group 1,G5030,S,"526697","0","+33.5191172","-086.7678932"
"01","073","004702","2","010730047022",Block Group 2,G5030,S,"1393690","0","+33.5104030","-086.7677629"
"01","073","004702","3","010730047023",Block Group 3,G5030,S,"597243","5581","+33.5109399","-086.7747510"
"01","073","011803","1","010730118031",Block Group 1,G5030,S,"1885098","0","+33.6243112","-086.6966332"
"01","073","011803","2","010730118032",Block Group 2,G5030,S,"1015098","0","+33.6362047","-086.6938156"
"01","073","011804","2","010730118042",Block Group 2,G5030,S,"1396655","0","+33.6420820","-086.6936584"
"01","073","011804","3","010730118043",Block Group 3,G5030,S,"690206","0","+33.6487004","-086.6916159"
"01","073","011901","2","010730119012",Block Group 2,G5030,S,"8941241","41527","+33.6272778","-086.7578670"
"01","073","011904","3","010730119043",Block Group 3,G5030,S,"3081314","0","+33.5991003","-086.7284927"
"01","073","011904","1","010730119041",Block Group 1,G5030,S,"4962666","9377","+33.5948884","-086.7515539"
"01","001","020700","1","010010207001",Block Group 1,G5030,S,"2809526","6276","+32.4523504","-086.4496780"
"01","001","020503","3","010010205033",Block Group 3,G5030,S,"1309424","12465","+32.4695124","-086.4302842"
"01","001","020600","2","010010206002",Block Group 2,G5030,S,"830949","19662","+32.4425440","-086.4667566"
"01","001","020503","2","010010205032",Block Group 2,G5030,S,"1148274","1971","+32.4797005","-086.4240099"
"01","101","001000","2","011010010002",Block Group 2,G5030,S,"2031862","0","+32.3609569","-086.3424101"
"01","101","001100","2","011010011002",Block Group 2,G5030,S,"507951","0","+32.3656750","-086.3299341"
"01","101","001100","3","011010011003",Block Group 3,G5030,S,"625231","0","+32.3614716","-086.3319855"
"01","101","001100","4","011010011004",Block Group 4,G5030,S,"405861","0","+32.3566079","-086.3298870"
"01","101","005800","1","011010058001",Block Group 1,G5030,S,"93126440","1416792","+32.0825110","-086.2708592"
"01","001","020501","1","010010205011",Block Group 1,G5030,S,"4317355","0","+32.4460719","-086.4186570"
"01","001","020902","1","010010209021",Block Group 1,G5030,S,"102175338","117712","+32.6423439","-086.5957353"
"01","001","020803","4","010010208034",Block Group 4,G5030,S,"48066620","150591","+32.5165176","-086.5614831"
"01","001","020803","3","010010208033",Block Group 3,G5030,S,"27323834","318617","+32.5439832","-086.4921004"
"01","001","020803","2","010010208032",Block Group 2,G5030,S,"28148850","39012","+32.5419945","-086.6156207"
"01","001","020801","3","010010208013",Block Group 3,G5030,S,"34480685","197251","+32.4555360","-086.5550587"
"01","001","020803","1","010010208031",Block Group 1,G5030,S,"25490823","76708","+32.5467483","-086.5315257"
"01","001","020902","2","010010209022",Block Group 2,G5030,S,"85329239","126724","+32.6193372","-086.5127187"
"01","001","020804","2","010010208042",Block Group 2,G5030,S,"14824851","5263","+32.5080405","-086.4374150"
"01","001","020804","1","010010208041",Block Group 1,G5030,S,"11553387","0","+32.5110890","-086.4688897"
"01","001","020805","2","010010208052",Block Group 2,G5030,S,"27162604","47536","+32.5483333","-086.4499508"
"01","001","020901","2","010010209012",Block Group 2,G5030,S,"50934199","75060","+32.6269039","-086.4544024"
"01","001","021000","3","010010210003",Block Group 3,G5030,S,"85934111","153897","+32.6631074","-086.6859543"
"01","001","020901","1","010010209011",Block Group 1,G5030,S,"54318041","196656","+32.6866980","-086.4787594"
"01","001","020805","1","010010208051",Block Group 1,G5030,S,"8274697","3102","+32.5257903","-086.4308142"
"01","001","021100","4","010010211004",Block Group 4,G5030,S,"76363173","106763","+32.4965703","-086.7121716"
"01","001","020700","3","010010207003",Block Group 3,G5030,S,"16086917","731864","+32.4135472","-086.4297969"
"01","001","020501","2","010010205012",Block Group 2,G5030,S,"1886299","0","+32.4519545","-086.4314867"
"01","001","020502","1","010010205021",Block Group 1,G5030,S,"1112127","0","+32.4684119","-086.4149975"
"01","001","020600","3","010010206003",Block Group 3,G5030,S,"3364858","30229","+32.4473399","-086.4768278"
"01","001","020502","2","010010205022",Block Group 2,G5030,S,"985263","379","+32.4673115","-086.4218280"
"01","001","020503","1","010010205031",Block Group 1,G5030,S,"650125","28719","+32.4787914","-086.4175693"
"01","101","001100","5","011010011005",Block Group 5,G5030,S,"487921","0","+32.3541936","-086.3253808"
"01","101","001200","3","011010012003",Block Group 3,G5030,S,"369357","0","+32.3553129","-086.3190906"
"01","101","001200","1","011010012001",Block Group 1,G5030,S,"316068","0","+32.3553260","-086.3146044"
"01","101","001300","1","011010013001",Block Group 1,G5030,S,"1072171","0","+32.3551205","-086.3059344"
"01","101","001300","2","011010013002",Block Group 2,G5030,S,"1184059","0","+32.3478975","-086.3084826"
"01","101","001400","1","011010014001",Block Group 1,G5030,S,"604339","0","+32.3557005","-086.2867651"
"01","101","001400","3","011010014003",Block Group 3,G5030,S,"824913","0","+32.3519366","-086.2972506"
"01","101","001400","4","011010014004",Block Group 4,G5030,S,"531273","0","+32.3575508","-086.2938772"
"01","101","001500","1","011010015001",Block Group 1,G5030,S,"775158","0","+32.3571328","-086.2723636"
"01","101","001500","2","011010015002",Block Group 2,G5030,S,"694836","0","+32.3616418","-086.2818765"
"01","095","030902","3","010950309023",Block Group 3,G5030,S,"12576658","14650","+34.2258513","-086.2064916"
"01","101","005902","2","011010059022",Block Group 2,G5030,S,"1989820","3090","+32.2922260","-086.3444450"
"01","101","005902","3","011010059023",Block Group 3,G5030,S,"2439859","324002","+32.3146821","-086.3434311"
"01","101","001600","4","011010016004",Block Group 4,G5030,S,"386529","0","+32.3779290","-086.2716676"
"01","101","001600","1","011010016001",Block Group 1,G5030,S,"674661","0","+32.3788481","-086.2661919"
"01","101","001600","2","011010016002",Block Group 2,G5030,S,"1056562","0","+32.3696609","-086.2752080"
"01","101","001600","3","011010016003",Block Group 3,G5030,S,"660283","0","+32.3749766","-086.2797833"
"01","101","001700","1","011010017001",Block Group 1,G5030,S,"1061631","0","+32.3753701","-086.2490904"
"01","101","001700","2","011010017002",Block Group 2,G5030,S,"580655","0","+32.3624520","-086.2478765"
"01","101","001700","3","011010017003",Block Group 3,G5030,S,"1085876","0","+32.3647312","-086.2584070"
"01","101","001700","4","011010017004",Block Group 4,G5030,S,"1457724","4085","+32.3735288","-086.2604218"
"01","101","001700","5","011010017005",Block Group 5,G5030,S,"854138","0","+32.3772704","-086.2540243"
"01","083","020402","3","010830204023",Block Group 3,G5030,S,"12068269","7953","+34.7896259","-087.0161744"
"01","083","020300","2","010830203002",Block Group 2,G5030,S,"78062847","3827480","+34.9049533","-087.1586365"
"01","083","021000","1","010830210001",Block Group 1,G5030,S,"4020420","2968","+34.7809161","-086.9914360"
"01","083","021000","2","010830210002",Block Group 2,G5030,S,"1299479","0","+34.7944247","-086.9770298"
"01","083","020300","3","010830203003",Block Group 3,G5030,S,"34686626","3633492","+34.8463271","-087.1692257"
"01","101","001800","2","011010018002",Block Group 2,G5030,S,"1045824","0","+32.3912382","-086.2675241"
"01","101","001800","3","011010018003",Block Group 3,G5030,S,"891639","0","+32.3861315","-086.2654058"
"01","101","001900","2","011010019002",Block Group 2,G5030,S,"534070","0","+32.3884643","-086.2482772"
"01","101","001900","4","011010019004",Block Group 4,G5030,S,"679965","0","+32.3970536","-086.2492099"
"01","101","002000","1","011010020001",Block Group 1,G5030,S,"1600466","0","+32.3388392","-086.2658095"
"01","083","020402","1","010830204021",Block Group 1,G5030,S,"20645414","10146","+34.8195542","-087.0378763"
"01","061","050100","4","010610501004",Block Group 4,G5030,S,"12686993","63815","+31.1384231","-086.0405578"
"01","061","050600","2","010610506002",Block Group 2,G5030,S,"77617706","362122","+31.0354048","-085.5299119"
"01","061","050100","2","010610501002",Block Group 2,G5030,S,"236796642","3670268","+31.0378466","-086.0711775"
"01","061","050100","1","010610501001",Block Group 1,G5030,S,"170069325","1346295","+31.1611217","-086.1063736"
"01","101","002000","2","011010020002",Block Group 2,G5030,S,"1900262","17045","+32.3349665","-086.2756760"
"01","101","002000","3","011010020003",Block Group 3,G5030,S,"1776675","2590","+32.3484509","-086.2769132"
"01","101","002000","4","011010020004",Block Group 4,G5030,S,"567465","0","+32.3492626","-086.2669462"
"01","101","002100","2","011010021002",Block Group 2,G5030,S,"1303094","0","+32.3303563","-086.2907147"
"01","101","002100","3","011010021003",Block Group 3,G5030,S,"1043635","0","+32.3393318","-086.2947520"
"01","101","002201","1","011010022011",Block Group 1,G5030,S,"654300","0","+32.3409230","-086.3038059"
"01","101","002201","3","011010022013",Block Group 3,G5030,S,"664505","0","+32.3304663","-086.3035838"
"01","101","002201","4","011010022014",Block Group 4,G5030,S,"632931","0","+32.3303628","-086.3120008"
"01","083","020500","2","010830205002",Block Group 2,G5030,S,"1268885","0","+34.7979745","-086.9841584"
"01","083","020300","1","010830203001",Block Group 1,G5030,S,"127434960","1919446","+34.9562082","-087.1001130"
"01","083","020402","2","010830204022",Block Group 2,G5030,S,"37048980","70079","+34.7789989","-087.0743091"
"01","083","020600","1","010830206001",Block Group 1,G5030,S,"8414728","11461","+34.8257230","-086.9849293"
"01","083","020600","2","010830206002",Block Group 2,G5030,S,"1951746","0","+34.8095344","-086.9771056"
"01","083","020700","1","010830207001",Block Group 1,G5030,S,"1578010","705","+34.8115423","-086.9637954"
"01","083","020500","1","010830205001",Block Group 1,G5030,S,"3429833","890","+34.8000679","-086.9978856"
"01","101","002202","1","011010022021",Block Group 1,G5030,S,"2891661","81899","+32.3151157","-086.3030980"
"01","101","002300","2","011010023002",Block Group 2,G5030,S,"672694","0","+32.3407727","-086.3208006"
"01","101","002300","3","011010023003",Block Group 3,G5030,S,"336831","0","+32.3345318","-086.3195922"
"01","101","002300","4","011010023004",Block Group 4,G5030,S,"1701409","100230","+32.3350894","-086.3264257"
"01","101","002400","1","011010024001",Block Group 1,G5030,S,"2446115","57096","+32.3396625","-086.3357413"
"01","017","954600","2","010179546002",Block Group 2,G5030,S,"3775891","0","+32.8402758","-085.1736664"
"01","017","954600","3","010179546003",Block Group 3,G5030,S,"3453965","0","+32.8224025","-085.1737399"
"01","063","060102","1","010630601021",Block Group 1,G5030,S,"168838513","2573261","+32.9733841","-087.8167767"
"01","063","060102","2","010630601022",Block Group 2,G5030,S,"110453235","6020115","+32.8430320","-087.8438180"
"01","063","060102","3","010630601023",Block Group 3,G5030,S,"143967772","696677","+32.8971720","-087.9371279"
"01","063","060101","2","010630601012",Block Group 2,G5030,S,"50170117","440361","+32.7798777","-087.9366382"
"01","063","060101","1","010630601011",Block Group 1,G5030,S,"29007101","405985","+32.8372858","-087.9304696"
"01","063","060200","4","010630602004",Block Group 4,G5030,S,"68372784","4747790","+32.5877429","-087.8028257"
"01","119","011301","3","011190113013",Block Group 3,G5030,S,"213884427","247068","+32.6300106","-088.2884250"
"01","119","011302","2","011190113022",Block Group 2,G5030,S,"379194284","7626862","+32.5289343","-088.0275255"
"01","119","011301","1","011190113011",Block Group 1,G5030,S,"11267871","201524","+32.6062498","-088.1971115"
"01","119","011301","2","011190113012",Block Group 2,G5030,S,"143571402","570632","+32.7028065","-088.2086999"
"01","119","011302","1","011190113021",Block Group 1,G5030,S,"194421468","1940428","+32.6063644","-088.0893568"
"01","097","006704","2","010970067042",Block Group 2,G5030,S,"5826645","15577","+30.4797806","-088.2634174"
"01","097","005900","3","010970059003",Block Group 3,G5030,S,"160362126","387789","+30.9735109","-088.2161397"
"01","097","005702","1","010970057021",Block Group 1,G5030,S,"58535891","139235","+30.9290065","-088.0983049"
"01","097","006305","2","010970063052",Block Group 2,G5030,S,"8539121","12468","+30.8354153","-088.2898229"
"01","097","005702","2","010970057022",Block Group 2,G5030,S,"30073215","37946","+30.9296484","-088.0373109"
"01","097","005601","2","010970056012",Block Group 2,G5030,S,"1501242","66730","+30.8712466","-088.0339255"
"01","097","005701","2","010970057012",Block Group 2,G5030,S,"39200861","123854","+30.8681159","-088.0862822"
"01","097","005701","1","010970057011",Block Group 1,G5030,S,"12014154","18533","+30.8537149","-088.1286139"
"01","097","005602","1","010970056021",Block Group 1,G5030,S,"4314759","2993","+30.8590467","-088.0576648"
"01","097","005601","1","010970056011",Block Group 1,G5030,S,"3530654","123178","+30.8597278","-088.0430279"
"01","097","005702","3","010970057023",Block Group 3,G5030,S,"91894804","9661748","+30.9750635","-087.9691890"
"01","097","006505","3","010970065053",Block Group 3,G5030,S,"29927918","118840","+30.5407759","-088.3673069"
"01","097","006202","1","010970062021",Block Group 1,G5030,S,"44719761","1576419","+30.8007669","-088.3759882"
"01","097","005602","3","010970056023",Block Group 3,G5030,S,"3608827","0","+30.8379861","-088.0720839"
"01","097","005602","2","010970056022",Block Group 2,G5030,S,"8019768","309176","+30.8381957","-088.0471853"
"01","097","006104","4","010970061044",Block Group 4,G5030,S,"28965976","51520","+30.9088058","-088.1843936"
"01","097","000200","2","010970002002",Block Group 2,G5030,S,"1025232","0","+30.6939777","-088.0493934"
"01","097","006107","2","010970061072",Block Group 2,G5030,S,"25177816","249304","+30.8298024","-088.1578100"
"01","097","007201","2","010970072012",Block Group 2,G5030,S,"23354804","630628","+30.4509666","-088.1615805"
"01","097","006504","2","010970065042",Block Group 2,G5030,S,"17977663","220698","+30.4971766","-088.3618540"
"01","097","006104","2","010970061042",Block Group 2,G5030,S,"43878347","238394","+30.8597680","-088.1901508"
"01","097","006104","3","010970061043",Block Group 3,G5030,S,"7962971","14923","+30.8453856","-088.2549153"
"01","097","006403","2","010970064032",Block Group 2,G5030,S,"15689268","50260","+30.6899792","-088.2543429"
"01","097","006306","1","010970063061",Block Group 1,G5030,S,"6999661","13423","+30.7481811","-088.2561378"
"01","097","006412","1","010970064121",Block Group 1,G5030,S,"3187971","8699","+30.6347471","-088.2612213"
"01","097","006505","1","010970065051",Block Group 1,G5030,S,"54546596","314761","+30.5868255","-088.3617984"
"01","097","006413","3","010970064133",Block Group 3,G5030,S,"2903459","19779","+30.6595929","-088.2787973"
"01","097","007204","1","010970072041",Block Group 1,G5030,S,"64603243","66659424","+30.3448680","-088.1716708"
"01","097","006703","2","010970067032",Block Group 2,G5030,S,"7145010","1074","+30.4376367","-088.2504761"
"01","097","006305","1","010970063051",Block Group 1,G5030,S,"15622938","19074","+30.8124771","-088.2844535"
"01","097","007203","2","010970072032",Block Group 2,G5030,S,"11173170","58935009","+30.2446668","-088.0920707"
"01","097","005400","3","010970054003",Block Group 3,G5030,S,"5396415","268186","+30.7965407","-088.0887107"
"01","097","003712","1","010970037121",Block Group 1,G5030,S,"1469439","2505","+30.6370749","-088.1803733"
"01","097","007000","4","010970070004",Block Group 4,G5030,S,"10242685","2023997","+30.5665962","-088.1137545"
"01","097","006304","2","010970063042",Block Group 2,G5030,S,"13403544","2345829","+30.7763285","-088.3291783"
"01","097","006407","3","010970064073",Block Group 3,G5030,S,"63956841","177628","+30.6502466","-088.3635286"
"01","097","006413","1","010970064131",Block Group 1,G5030,S,"4047315","11648","+30.6440000","-088.2771812"
"01","097","007103","3","010970071033",Block Group 3,G5030,S,"16711557","1027658","+30.4873395","-088.1475242"
"01","097","006107","1","010970061071",Block Group 1,G5030,S,"22956741","27860","+30.8175719","-088.2128652"
"01","097","006704","3","010970067043",Block Group 3,G5030,S,"14485684","68278","+30.4659176","-088.2854428"
"01","097","006000","4","010970060004",Block Group 4,G5030,S,"58043748","473856","+31.0593891","-088.2940267"
"01","097","003410","2","010970034102",Block Group 2,G5030,S,"6602733","6944","+30.7265818","-088.2067412"
"01","097","006106","1","010970061061",Block Group 1,G5030,S,"13963437","184888","+30.7882197","-088.1189630"
"01","097","003301","3","010970033013",Block Group 3,G5030,S,"375711","0","+30.6811869","-088.1369246"
"01","097","006201","2","010970062012",Block Group 2,G5030,S,"152490601","1282675","+30.8929297","-088.3775750"
"01","097","006804","2","010970068042",Block Group 2,G5030,S,"4257878","28741","+30.6241555","-088.2166281"
"01","097","006413","2","010970064132",Block Group 2,G5030,S,"17710588","266117","+30.6341135","-088.3156670"
"01","097","007203","1","010970072031",Block Group 1,G5030,S,"5093495","12453857","+30.2667947","-088.1002267"
"01","097","006410","2","010970064102",Block Group 2,G5030,S,"1916696","6406","+30.6435794","-088.2121397"
"01","097","003410","1","010970034101",Block Group 1,G5030,S,"4910957","12428","+30.7447341","-088.2012505"
"01","097","003409","1","010970034091",Block Group 1,G5030,S,"4105537","7426","+30.7593237","-088.1982730"
"01","097","006103","3","010970061033",Block Group 3,G5030,S,"5496257","6917","+30.7768345","-088.1456300"
"01","097","006411","1","010970064111",Block Group 1,G5030,S,"1506296","0","+30.6723983","-088.2165121"
"01","097","006411","2","010970064112",Block Group 2,G5030,S,"928186","0","+30.6799875","-088.2196706"
"01","097","003703","2","010970037032",Block Group 2,G5030,S,"1780486","0","+30.6725671","-088.2040337"
"01","097","003708","3","010970037083",Block Group 3,G5030,S,"627448","0","+30.6331917","-088.1934715"
"01","097","003711","2","010970037112",Block Group 2,G5030,S,"987020","0","+30.6291224","-088.1887325"
"01","097","006803","1","010970068031",Block Group 1,G5030,S,"4557732","46040","+30.6034977","-088.2154140"
"01","097","006902","3","010970069023",Block Group 3,G5030,S,"1032173","0","+30.5831092","-088.1979938"
"01","097","000801","3","010970008013",Block Group 3,G5030,S,"589488","0","+30.7137083","-088.0990324"
"01","097","000802","1","010970008021",Block Group 1,G5030,S,"429620","0","+30.7038558","-088.0865273"
"01","097","006804","1","010970068041",Block Group 1,G5030,S,"4912051","80053","+30.6268932","-088.2347453"
"01","097","006408","1","010970064081",Block Group 1,G5030,S,"2826417","0","+30.6521955","-088.2320827"
"01","097","003205","3","010970032053",Block Group 3,G5030,S,"813350","6434","+30.6590889","-088.1345743"
"01","097","003207","2","010970032072",Block Group 2,G5030,S,"559195","11543","+30.6671876","-088.1301355"
"01","097","003206","1","010970032061",Block Group 1,G5030,S,"1269166","8043","+30.6736480","-088.1378423"
"01","097","003607","3","010970036073",Block Group 3,G5030,S,"506960","0","+30.6882944","-088.1957048"
"01","097","007101","5","010970071015",Block Group 5,G5030,S,"4184149","0","+30.5480347","-088.2070275"
"01","097","003712","2","010970037122",Block Group 2,G5030,S,"1752978","51123","+30.6136937","-088.1693952"
"01","097","006503","2","010970065032",Block Group 2,G5030,S,"8442894","40837","+30.6172849","-088.2854189"
"01","097","006102","2","010970061022",Block Group 2,G5030,S,"11445859","10804","+30.7982228","-088.1986102"
"01","097","006501","3","010970065013",Block Group 3,G5030,S,"12175571","114949","+30.5955476","-088.2632204"
"01","097","003704","4","010970037044",Block Group 4,G5030,S,"978978","0","+30.6691100","-088.1765150"
"01","097","006503","1","010970065031",Block Group 1,G5030,S,"2800137","2175","+30.6148973","-088.2601228"
"01","097","006408","2","010970064082",Block Group 2,G5030,S,"1674780","5006","+30.6453638","-088.2397068"
"01","097","003402","3","010970034023",Block Group 3,G5030,S,"2166884","44320","+30.7306173","-088.1563282"
"01","097","006411","3","010970064113",Block Group 3,G5030,S,"1364004","0","+30.6648193","-088.2165279"
"01","097","980000","1","010979800001",Block Group 1,G5030,S,"1895047","0","+30.6951462","-088.1824733"
"01","097","006803","2","010970068032",Block Group 2,G5030,S,"3059933","27021","+30.5984483","-088.2333360"
"01","097","006903","2","010970069032",Block Group 2,G5030,S,"2032827","9993","+30.5844335","-088.2330558"
"01","097","007101","4","010970071014",Block Group 4,G5030,S,"1501386","0","+30.5382073","-088.1903880"
"01","097","006903","1","010970069031",Block Group 1,G5030,S,"4012025","7159","+30.5741079","-088.2140782"
"01","097","006904","3","010970069043",Block Group 3,G5030,S,"3079382","0","+30.5549338","-088.2193967"
"01","097","003707","3","010970037073",Block Group 3,G5030,S,"373409","0","+30.6574150","-088.1785050"
"01","097","000801","1","010970008011",Block Group 1,G5030,S,"731302","15917","+30.6990753","-088.0877514"
"01","097","006703","1","010970067031",Block Group 1,G5030,S,"8247299","12995","+30.4480893","-088.2254621"
"01","097","003207","3","010970032073",Block Group 3,G5030,S,"547877","0","+30.6676278","-088.1421894"
"01","097","003406","3","010970034063",Block Group 3,G5030,S,"746024","0","+30.7133172","-088.1339721"
"01","097","003406","2","010970034062",Block Group 2,G5030,S,"1360785","0","+30.7148863","-088.1585591"
"01","097","006303","2","010970063032",Block Group 2,G5030,S,"9443226","379485","+30.7687796","-088.3042748"
"01","097","006304","1","010970063041",Block Group 1,G5030,S,"10682859","51392","+30.7831381","-088.2879237"
"01","097","006306","2","010970063062",Block Group 2,G5030,S,"8732390","5020","+30.7325542","-088.2419342"
"01","097","006307","1","010970063071",Block Group 1,G5030,S,"5620164","17774","+30.7801967","-088.2406764"
"01","097","003602","3","010970036023",Block Group 3,G5030,S,"1311627","0","+30.6948608","-088.1985552"
"01","097","006802","3","010970068023",Block Group 3,G5030,S,"3810802","25890","+30.5963750","-088.1624034"
"01","097","006307","2","010970063072",Block Group 2,G5030,S,"8224884","47167","+30.7624390","-088.2487246"
"01","097","006303","1","010970063031",Block Group 1,G5030,S,"20758261","4448510","+30.7352775","-088.3041657"
"01","097","006505","2","010970065052",Block Group 2,G5030,S,"10212015","67521","+30.5727144","-088.3188622"
"01","097","006704","1","010970067041",Block Group 1,G5030,S,"10325825","27220","+30.4798567","-088.2369762"
"01","097","006411","4","010970064114",Block Group 4,G5030,S,"807836","49495","+30.6836887","-088.2138341"
"01","097","007102","2","010970071022",Block Group 2,G5030,S,"10054993","0","+30.5239474","-088.1754373"
"01","097","003711","1","010970037111",Block Group 1,G5030,S,"2360579","29446","+30.6190605","-088.1839203"
"01","097","000801","2","010970008012",Block Group 2,G5030,S,"1009543","0","+30.7057453","-088.0956235"
"01","097","006201","1","010970062011",Block Group 1,G5030,S,"21040518","37950","+30.8598959","-088.2988739"
"01","097","006409","1","010970064091",Block Group 1,G5030,S,"4943765","8157","+30.6663324","-088.2585340"
"01","097","006412","2","010970064122",Block Group 2,G5030,S,"2162619","0","+30.6310704","-088.2796485"
"01","097","006106","2","010970061062",Block Group 2,G5030,S,"11630482","46336","+30.8150182","-088.1178474"
"01","097","006410","1","010970064101",Block Group 1,G5030,S,"2401394","9746","+30.6495176","-088.2222726"
"01","097","003410","3","010970034103",Block Group 3,G5030,S,"3046469","0","+30.7490491","-088.2176205"
"01","097","003409","2","010970034092",Block Group 2,G5030,S,"3286224","3776","+30.7635146","-088.2190864"
"01","097","006409","3","010970064093",Block Group 3,G5030,S,"3210097","0","+30.6698747","-088.2331182"
"01","097","003602","1","010970036021",Block Group 1,G5030,S,"695820","0","+30.7021178","-088.2029607"
"01","097","003705","3","010970037053",Block Group 3,G5030,S,"1069877","12121","+30.6458496","-088.2034717"
"01","097","003704","3","010970037043",Block Group 3,G5030,S,"1014954","0","+30.6685136","-088.1876714"
"01","097","006904","1","010970069041",Block Group 1,G5030,S,"4807234","8167","+30.5690497","-088.2335813"
"01","097","006904","2","010970069042",Block Group 2,G5030,S,"3430634","0","+30.5747441","-088.2027092"
"01","097","007101","3","010970071013",Block Group 3,G5030,S,"1857501","0","+30.5493173","-088.1807961"
"01","097","000802","2","010970008022",Block Group 2,G5030,S,"399784","0","+30.7091039","-088.0896354"
"01","097","006409","2","010970064092",Block Group 2,G5030,S,"3379000","0","+30.6527378","-088.2514976"
"01","097","006804","3","010970068043",Block Group 3,G5030,S,"4669197","77038","+30.6125637","-088.2430796"
"01","097","002301","1","010970023011",Block Group 1,G5030,S,"648848","17860","+30.6427138","-088.0932591"
"01","097","003207","1","010970032071",Block Group 1,G5030,S,"374264","0","+30.6670336","-088.1355604"
"01","097","003607","1","010970036071",Block Group 1,G5030,S,"498509","0","+30.6880378","-088.2041998"
"01","097","003606","3","010970036063",Block Group 3,G5030,S,"692484","0","+30.6869822","-088.1851230"
"01","097","006412","3","010970064123",Block Group 3,G5030,S,"711470","0","+30.6288666","-088.2681836"
"01","097","006504","1","010970065041",Block Group 1,G5030,S,"30136756","37944","+30.5270620","-088.3223834"
"01","097","003712","3","010970037123",Block Group 3,G5030,S,"914068","0","+30.6235025","-088.1757874"
"01","033","020706","1","010330207061",Block Group 1,G5030,S,"12067674","4789","+34.7206228","-087.6040600"
"01","033","020706","3","010330207063",Block Group 3,G5030,S,"48609447","112623","+34.6681790","-087.6235693"
"01","033","020706","4","010330207064",Block Group 4,G5030,S,"5395194","10231","+34.7157931","-087.6641413"
"01","033","020706","2","010330207062",Block Group 2,G5030,S,"13204946","51061","+34.7353867","-087.6083960"
"01","033","020703","4","010330207034",Block Group 4,G5030,S,"638691","0","+34.7551283","-087.6520742"
"01","033","020705","1","010330207051",Block Group 1,G5030,S,"33987219","6626787","+34.7811324","-087.6099129"
"01","043","965502","4","010439655024",Block Group 4,G5030,S,"31747958","718459","+34.0640767","-086.9017404"
"01","043","964902","1","010439649021",Block Group 1,G5030,S,"21486702","2202775","+34.2105089","-086.8180522"
"01","043","964902","2","010439649022",Block Group 2,G5030,S,"10916199","99716","+34.2225930","-086.8635738"
"01","043","965502","3","010439655023",Block Group 3,G5030,S,"17333310","4981197","+34.0743863","-086.9499265"
"01","043","965501","1","010439655011",Block Group 1,G5030,S,"96516152","561065","+33.9712693","-086.9158949"
"01","043","964201","1","010439642011",Block Group 1,G5030,S,"36111230","194038","+34.2352724","-086.6840347"
"01","043","964202","1","010439642021",Block Group 1,G5030,S,"22943275","165055","+34.2288621","-086.7514574"
"01","043","964201","3","010439642013",Block Group 3,G5030,S,"16259401","113343","+34.1943630","-086.7656587"
"01","043","965002","2","010439650022",Block Group 2,G5030,S,"9243079","105163","+34.1436325","-086.8522746"
"01","043","965001","2","010439650012",Block Group 2,G5030,S,"9002648","80848","+34.1487808","-086.8153637"
"01","043","965401","3","010439654013",Block Group 3,G5030,S,"7041302","38075","+34.0629895","-086.7891384"
"01","043","964202","2","010439642022",Block Group 2,G5030,S,"31128811","275431","+34.2742617","-086.6981289"
"01","043","965502","1","010439655021",Block Group 1,G5030,S,"21905267","1782712","+34.0040662","-086.9966017"
"01","043","964202","3","010439642023",Block Group 3,G5030,S,"26616487","266307","+34.2689113","-086.7661718"
"01","043","964901","2","010439649012",Block Group 2,G5030,S,"9314757","287527","+34.1729613","-086.7903624"
"01","043","964901","3","010439649013",Block Group 3,G5030,S,"1200097","5761","+34.1848456","-086.8446174"
"01","043","964901","1","010439649011",Block Group 1,G5030,S,"1509064","7046","+34.1736619","-086.8279853"
"01","043","965002","3","010439650023",Block Group 3,G5030,S,"1592758","0","+34.1658401","-086.8428095"
"01","043","965002","4","010439650024",Block Group 4,G5030,S,"650444","672","+34.1675545","-086.8514840"
"01","043","965001","1","010439650011",Block Group 1,G5030,S,"1924825","5997","+34.1636228","-086.8351128"
"01","043","964201","2","010439642012",Block Group 2,G5030,S,"21170771","275051","+34.2045537","-086.7197693"
"01","043","965600","3","010439656003",Block Group 3,G5030,S,"40203030","4133659","+34.0655357","-087.0663607"
"01","043","964901","4","010439649014",Block Group 4,G5030,S,"3119137","13297","+34.1884740","-086.8346018"
"01","043","965502","2","010439655022",Block Group 2,G5030,S,"19889281","1532242","+34.0244875","-086.9320120"
"01","043","965002","1","010439650021",Block Group 1,G5030,S,"985201","989","+34.1680978","-086.8610563"
"01","083","020403","1","010830204031",Block Group 1,G5030,S,"42305646","1057558","+34.8577373","-087.0957293"
"01","083","020103","2","010830201032",Block Group 2,G5030,S,"8440069","24664","+34.9866583","-086.8486517"
"01","083","020403","2","010830204032",Block Group 2,G5030,S,"29362060","4558315","+34.8148682","-087.1343158"
